state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,sales_channel,vehicle_class,vehicle_size,policy_level,renew_offer_type_numeric
Washington,No,Basic,Bachelor,Employed,F,Suburban,Married,Corporate,Agent,Two-Door Car,Medsize,3,1
Arizona,No,Extended,Bachelor,Unemployed,F,Suburban,Single,Personal,Agent,Four-Door Car,Medsize,3,3
Nevada,No,Premium,Bachelor,Employed,F,Suburban,Married,Personal,Agent,Two-Door Car,Medsize,3,1
California,No,Basic,Bachelor,Unemployed,M,Suburban,Married,Corporate,Call Center,SUV,Medsize,2,1
Washington,No,Basic,Bachelor,Employed,M,Rural,Single,Personal,Agent,Four-Door Car,Medsize,1,1
Oregon,Yes,Basic,Bachelor,Employed,F,Rural,Married,Personal,Web,Two-Door Car,Medsize,3,2
Oregon,Yes,Basic,College,Employed,F,Suburban,Married,Corporate,Agent,Four-Door Car,Medsize,3,1
Arizona,No,Premium,Master,Unemployed,M,Urban,Single,Corporate,Agent,Four-Door Car,Medsize,3,1
Oregon,Yes,Basic,Bachelor,Medical Leave,M,Suburban,Divorced,Corporate,Agent,Four-Door Car,Medsize,3,1
Oregon,No,Extended,College,Employed,F,Urban,Married,Special,Branch,Four-Door Car,Medsize,2,2
California,No,Basic,College,Unemployed,M,Suburban,Single,Personal,Agent,Four-Door Car,Small,3,1
California,No,Basic,College,Unemployed,F,Suburban,Married,Personal,Agent,SUV,Medsize,3,2
California,No,Premium,Master,Employed,M,Urban,Married,Corporate,Agent,Four-Door Car,Medsize,1,2
Arizona,Yes,Basic,High School or Below,Employed,M,Suburban,Married,Corporate,Branch,SUV,Medsize,3,2
California,No,Basic,College,Employed,M,Urban,Single,Corporate,Call Center,Four-Door Car,Medsize,3,4
Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate,Branch,Four-Door Car,Medsize,2,2
Nevada,No,Basic,High School or Below,Medical Leave,M,Suburban,Married,Personal,Call Center,Two-Door Car,Medsize,3,2
California,No,Basic,College,Medical Leave,M,Suburban,Married,Personal,Call Center,SUV,Medsize,2,3
Oregon,No,Basic,College,Employed,M,Urban,Married,Personal,Branch,Four-Door Car,Medsize,2,2
California,No,Premium,High School or Below,Employed,F,Suburban,Married,Corporate,Call Center,Four-Door Car,Small,2,1
Oregon,No,Basic,High School or Below,Employed,M,Suburban,Single,Personal,Branch,Two-Door Car,Medsize,2,1
Washington,No,Extended,Bachelor,Disabled,F,Suburban,Divorced,Personal,Call Center,Four-Door Car,Medsize,3,4
Arizona,Yes,Basic,Bachelor,Medical Leave,M,Suburban,Divorced,Personal,Agent,Four-Door Car,Medsize,3,1
Nevada,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Corporate,Branch,Four-Door Car,Medsize,3,1
California,No,Basic,Bachelor,Disabled,F,Suburban,Married,Corporate,Branch,Four-Door Car,Medsize,2,2
Oregon,No,Basic,College,Employed,M,Suburban,Married,Personal,Call Center,Four-Door Car,Large,3,2
California,No,Premium,Bachelor,Unemployed,F,Suburban,Single,Personal,Agent,Four-Door Car,Small,3,1
Washington,No,Extended,Master,Disabled,F,Urban,Married,Corporate,Branch,SUV,Medsize,1,1
Arizona,No,Premium,College,Employed,F,Suburban,Single,Personal,Call Center,Four-Door Car,Large,3,1
Oregon,No,Extended,Master,Employed,F,Suburban,Married,Personal,Branch,Four-Door Car,Small,3,2
Arizona,No,Basic,College,Employed,M,Suburban,Married,Personal,Call Center,Four-Door Car,Small,2,4
Nevada,No,Extended,High School or Below,Employed,M,Urban,Married,Corporate,Agent,Luxury SUV,Medsize,2,2
